Time_hr,60881_1_BTM,60881_1_TOP,60881_2_BTM,60881_2_TOP,60881_3_TOP,60881_4_BTM,60881_4_TOP,60881_5_BTM,60881_5_TOP,60881_6_BTM,60881_6_TOP,60921_1_BTM,60921_1_TOP,60921_2_BTM,60929_1_BTM,60929_1_TOP,60929_2_BTM,60929_2_TOP,60929_3_TOP,60940_1_BTM,60940_1_TOP,60940_2_BTM,60940_2_TOP,60940_3_TOP,60940_4_BTM,60940_4_TOP,60940_5_BTM,60940_5_TOP,60940_6_BTM
0, 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 
2, 22.0 , 172.0 , 24.0 , 8.0 , 22.0 , 59.0 , 28.0 , 35.0 , 36.0 , 17.0 , 24.0 , 25.0 , 36.0 , 251.0 , 33.0 , 24.0 , 49.0 , 38.0 , 54.0 , 2.6 , 1.8 , 3.1 , 2.6 , 2.3 , 3.1 , 2.4 , 3.6 , 0.4 , 3.1 
4, 22.0 , 177.0 , 25.0 , 12.0 , 24.0 , 96.0 , 32.0 , 38.0 , 40.0 , 17.0 , 25.0 , 30.0 , 49.0 , 256.0 , 35.0 , 24.0 , 52.0 , 46.0 , 54.0 , 2.8 , 1.8 , 3.2 , 2.7 , 2.4 , 3.1 , 2.4 , 3.7 , 0.4 , 3.2 
6, 24.0 , 179.0 , 24.0 , 12.0 , 20.0 , 116.0 , 32.0 , 41.0 , 44.0 , 19.0 , 30.0 , 32.0 , 72.0 , 257.0 , 32.0 , 25.0 , 54.0 , 46.0 , 52.0 , 2.8 , 1.9 , 3.4 , 2.8 , 2.5 , 3.2 , 2.4 , 3.8 , 0.5 , 3.3 
8, 24.0 , 180.0 , 27.0 , 12.0 , 22.0 , 112.0 , 35.0 , 41.0 , 48.0 , 19.0 , 35.0 , 38.0 , 88.0 , 262.0 , 32.0 , 28.0 , 51.0 , 46.0 , 56.0 , 2.9 , 1.9 , 3.5 , 2.9 , 2.7 , 3.3 , 2.5 , 3.9 , 0.6 , 3.4 
10, 32.0 , 180.0 , 30.0 , 16.0 , 25.0 , 108.0 , 40.0 , 46.0 , 54.0 , 20.0 , 40.0 , 41.0 , 91.0 , 265.0 , 33.0 , 33.0 , 51.0 , 48.0 , 57.0 , 2.9 , 2.1 , 3.6 , 3.0 , 2.8 , 3.3 , 2.5 , 3.9 , 0.7 , 3.5 
12, 32.0 , 187.0 , 27.0 , 19.0 , 25.0 , 91.0 , 44.0 , 52.0 , 62.0 , 20.0 , 43.0 , 44.0 , 104.0 , 267.0 , 35.0 , 33.0 , 52.0 , 51.0 , 60.0 , 3.0 , 2.1 , 3.8 , 3.1 , 2.8 , 3.4 , 2.6 , 3.9 , 0.9 , 3.5 
14, 36.0 , 188.0 , 27.0 , 22.0 , 27.0 , 68.0 , 46.0 , 49.0 , 65.0 , 25.0 , 48.0 , 44.0 , 110.0 , 270.0 , 33.0 , 33.0 , 52.0 , 52.0 , 62.0 , 3.0 , 2.3 , 3.9 , 3.2 , 2.9 , 3.5 , 2.6 , 4.0 , 0.9 , 3.5 
16, 35.0 , 179.0 , 27.0 , 20.0 , 28.0 , 54.0 , 48.0 , 49.0 , 68.0 , 25.0 , 54.0 , 40.0 , 105.0 , 262.0 , 36.0 , 38.0 , 54.0 , 59.0 , 65.0 , 3.1 , 2.4 , 4.1 , 3.2 , 2.9 , 3.5 , 2.7 , 4.1 , 0.9 , 3.7 
18, 48.0 , 198.0 , 32.0 , 24.0 , 30.0 , 43.0 , 54.0 , 57.0 , 73.0 , 27.0 , 52.0 , 56.0 , 126.0 , 277.0 , 33.0 , 38.0 , 56.0 , 57.0 , 64.0 , 3.1 , 2.4 , 4.3 , 3.3 , 3.0 , 3.6 , 2.7 , 4.1 , 1.2 , 3.7 
