column,abbreviated,analysis_type,Variable.Name,Unit
Sample_ID,Sample_ID,,"Identifier of soil core, 1000S_XXXX",
Location,Location,,Top or bottom layer of each soil core,
mean_GWC,GWC,GWC,Mean of gravimetric weight content (moisture content),g water per g dry soil
K_mg_per_kg,K,CEC,Potassium content by ammonium acetate extraction,mg K per kg soil
SO4-S_mg_per_kg,SO4S,SO4S,,mg S per kg soil
B_mg_per_kg,B,Metals,,mg B per kg soil
Zn_mg_per_kg,Zn,Metals,Zinc content by the DTPA (diethylenetriaminepentaacetic acid) micronutrient extraction,mg Zn per kg soil
Mn_mg_per_kg,MN,Metals,Manganese content by the DTPA (diethylenetriaminepentaacetic acid) micronutrient extraction,mg Mn per kg soil
Cu_mg_per_kg,Cu,Metals,Copper content by the DTPA (diethylenetriaminepentaacetic acid) micronutrient extraction,mg Cu per kg soil
Fe_mg_per_kg,Fe,Metals,Iron content by the DTPA (diethylenetriaminepentaacetic acid) micronutrient extraction,mg Fe per kg soil
Ca_Meq_per_100_g,Ca,CEC,Calcium content by ammonium acetate extraction,millequivalents per 100 grams of soil
Mg_Meq_per_100_g,Mg,CEC,Magnesium content by ammonium acetate extraction,millequivalents per 100 grams of soil
Na_Meq_per_100_g,Na,CEC,Sodium content by ammonium acetate extraction,millequivalents per 100 grams of soil
Total_Bases_Meq_per_100_g,Bases,CEC,Total meq of bases on exchange sites,millequivalents per 100 grams of soil
CEC_Meq_per_100_g,CEC,CEC,Cation exchange capacity,millequivalents per 100 grams of soil
TKN_pct,TKN,TCTNTS,,percent
Total_Sulfur_pct,TS,TCTNTS,,percent
Total_Nitrogen_pct,TN,TCTNTS,,percent
Total_Carbon_pct,TC,TCTNTS,,percent
C_to_N_ratio,CN,TCTNTS,,
NO3-N_mg_per_g_of_soil_mean,NO3N,DIN,Mean of nitrogen content in nitrate by KCl extraction,mg N per g soil
NH4-N_mg_per_g_of_soil_mean,NH4N,DIN,Mean of nitrogen content in ammonium by KCl extraction,mg N per g soil
NO3-N_mg_per_g_of_soil_median,,,Median of nitrogen content in nitrate by KCl extraction,mg N per g soil
NH4-N_mg_per_g_of_soil_median,,,Median of nitrogen content in ammonium by KCl extraction,mg N per g soil
NO3-N_mg_per_g_of_soil_standard_deviation,,,Standard deviation of nitrogen content in nitrate by KCl extraction,mg N per g soil
NH4-N_mg_per_g_of_soil_standard_deviation,,,Standard deviation of nitrogen content in ammonium by KCl extraction,mg N per g soil
NO3-N_mg_per_g_of_soil_standard_error,,,Standard error of nitrogen content in nitrate by KCl extraction,mg N per g soil
NH4-N_mg_per_g_of_soil_standard_error,,,Standard error of nitrogen content in ammonium by KCl extraction,mg N per g soil
P_Bicarb_mg_per_g_of_soil_mean,P-bicarb,P,Mean of phosphorus content in phosphate by sodium bicarbonate extraction,mg P per g soil
