Site_Code,Location,mean_GWC,K_mg_per_kg,SO4-S_mg_per_kg,B_mg_per_kg,Zn_mg_per_kg,Mn_mg_per_kg,Cu_mg_per_kg,Fe_mg_per_kg,Ca_Meq_per_100_g,Mg_Meq_per_100_g,Na_Meq_per_100_g,Total_Bases_Meq_per_100_g,CEC_Meq_per_100_g,TKN_pct,Total_Sulfur_pct,Total_Nitrogen_pct,Total_Carbon_pct,C_to_N_ratio,NO3-N_mg_per_g_of_soil_mean,NH4-N_mg_per_g_of_soil_mean,P_Bicarb_mg_per_g_of_soil_mean,pH,Sand_pct,Silt_pct,Clay_pct,WEOC_mean,WETN_mean,MBC_mean,MBN_mean
ANZA,BTM,1,82,4,0.2,0.3,1.1,0.1,14,3.05,0.42,0.08,3.76,9.38,0.047,94.5,0.047,0.151,3.213,0.0009,0.0006,0.0009,9.2,87,5.9,7.1,0.03149309,0.005812294,0.013688861,0.001384506
ANZA,TOP,1.002,107,4,0.25,0.2,1.9,0.1,13,3.27,0.26,0.1,3.9,5.62,0.059,101.84,0.059,0.209,3.542,0.0039,0.0012,0.002,8.75,83.1,9.9,7.1,0.029364385,0.005239364,0.081016352,0.007267017
BLAN,BTM,1.166,122,19,0.27,0.2,15.9,0.5,16,4.31,0.57,0.06,5.25,9.3,0.107,40.34,0.107,0.514,4.804,0.0003,0.001,0.0011,5.92,25,37.8,37.3,0.020155341,0.001040124,0.033344869,0.006350579
BLAN,TOP,1.157,189,10,0.42,0.7,28.3,0.7,54,5.47,0.81,0.05,6.81,11.9,0.196,63.54,0.196,1.676,8.551,0.001,0.0022,0.0024,6.5,25,45.8,29.3,0.127422793,0.013628846,0.071523404,0.021471012
CFS1,BTM,1.134,107,6,0.26,0.3,0.7,0.5,18,2.93,1.14,0.06,4.4,5.49,0.072,18.6,0.072,0.433,6.014,0.0001,0.0003,0.0238,6.98,48.03,23.99,27.98,0.04686615,0.004221127,0.033047466,0.006295954
CFS1,TOP,1.112,231,,,,,,,2.41,0.68,0.08,3.76,5.55,0.14,92.27,0.14,1.212,8.657,0.0083,0.0214,0.1453,6.66,68.1,19.94,11.96,0.061875839,0.029890194,0.082763987,0.034699372
CFS2,BTM,1.088,66,2,0.06,0.3,2,0.3,17,1.13,0.32,0.04,1.66,2.3,0.041,0,0.041,0.223,5.439,0.0002,0.0001,0.0508,6.78,68.06,21.96,9.98,0.032712057,0.002968866,0.032374642,0.003541057
CFS2,TOP,1.106,134,4,0.11,3.6,5.1,2.2,48,1.76,0.5,0.05,2.65,4.06,0.114,37.81,0.114,1.019,8.939,0.0036,0.0008,0.1497,6.66,84.01,6,10,0.029040876,0.008671978,0.074099336,0.017683773
CLBJ,BTM,1.218,144,5,0.18,0.4,9.6,0.2,21,1.42,1.08,0.1,2.97,2.74,0.064,22.6,0.064,0.205,3.203,0.0005,0.0018,0.0009,4.94,53,33.9,13.2,0.033126757,0.002171711,0.061627788,0.003752454
CLBJ,TOP,1.278,156,6,0.4,1.6,5.9,0.2,12,9.02,1.04,0.07,10.53,2.04,0.172,198.71,0.172,1.549,9.006,0.0008,0.0042,0.0034,7.28,49,37.9,13.2,0.097551418,0.021397885,0.201579625,0.028512493
CPER,TOP,1.032,232,6,0.32,0.7,13.9,0.7,31,5.97,1.35,0.06,7.97,9.61,0.163,73.59,0.163,1.182,7.252,0.0083,0.0046,0.0558,6.18,69.1,17.8,13.2,0.068138281,0.012887726,0.075279626,0.011446242
DCFS,BTM,1.135,575,9,0.6,0.3,21.2,0.8,83,10.24,4.84,0.07,16.62,18.55,0.316,96.81,0.316,2.967,9.389,0.0007,0.002,0.0008,6.22,49,27.8,23.3,0.141234472,0.011725973,0.092543355,0.011939696
DCFS,TOP,1.337,820,22,1.09,16.5,31.9,1.6,199,20.64,7.81,0.07,30.62,39.78,0.962,266.55,0.962,10.643,11.063,0.0021,0.0051,0.0025,6.37,45,35.8,19.3,0.276989394,0.049284987,0.321770516,0.067713452
DELA,BTM,1.206,42,59,0.26,0.6,56.2,1,133,2.16,0.79,0.13,3.19,14.73,0.143,122.49,0.143,0.917,6.413,0.0007,0.0014,1.65,5.09,27,35.8,37.3,0.012924932,0.00217309,0.048874816,0.003952439
DELA,TOP,1.241,86,42,0.53,3.5,105.6,2.5,241,4.36,1.48,0.11,6.17,24.43,0.289,178.55,0.289,2.378,8.228,0.0006,0.0026,1.69,5.08,23,39.8,37.2,0.009551038,0.024330753,0.056528541,0.012472386
DSNY,BTM,1.048,30,2,0.08,0.2,0.3,0.1,4,0.43,0.07,0.07,0.65,0.84,0.039,48.71,0.039,0.216,5.538,0.0005,0.0012,0.0007,8.01,93,1.8,5.2,0.032000471,0.008604969,0.033291076,0.00434479
DSNY,TOP,1.072,57,2,0.12,0.1,0.7,0.2,22,1.02,0.13,0.09,1.39,8.95,0.093,104.46,0.093,1.33,14.301,0.0007,0.0015,0.0015,5.08,88.9,6,5.2,0.051342509,0.008604969,0.14250385,0.022125767
FTA3,BTM,,562,2,0.25,0.2,4.1,0.3,16,6.29,2.2,0.04,9.97,10.82,0.101,78.71,0.101,0.942,9.327,,,,6.73,55.3,28.44,16.25,0.098153484,0.007007261,,
FTA3,TOP,,517,5,0.29,1.4,8.4,0.4,28,7.85,2.3,0.04,11.52,11.43,0.166,148.47,0.166,1.804,10.867,,,,6.62,60.06,23.97,15.98,0.133001614,0.017005801,,
FTA5,BTM,1.203,548,3,0.21,0.01,3.4,0.7,17,6.67,2.33,0.08,10.49,11.21,0.131,66.36,0.131,0.759,5.794,0.0055,0.0007,0.008,7.16,56.03,27.98,15.99,0.051668953,0.01331005,0.11114971,0.012383214
FTA5,TOP,1.195,1218,5,0.77,1.6,13.3,0.7,33,6.53,1.86,0.09,11.6,13.8,0.192,108.37,0.192,1.477,7.693,0.0015,0.0201,0.0345,7.34,64.06,21.96,13.98,0.063804564,0.039702086,0.168289884,0.024549624
GRSM,BTM,1.222,239,6,0.21,0.9,8.3,0.7,48,3.83,0.48,0.09,5.01,10.58,0.107,84.73,0.107,1.642,15.346,0.0006,0.0021,0.004,5.89,43,27.8,29.2,0.048497136,0.002715391,0.071461687,0.010607869
GRSM,TOP,1.349,205,10,0.31,11,31.4,3.4,84,6.7,0.71,0.06,8,17.34,0.37,289.86,0.37,4.765,12.878,0.0024,0.0059,0.0305,6.21,55,31.8,13.3,0.14663876,0.035878578,0.304529618,0.066655802
HARV,BTM,1.091,50,49,0.88,1.7,5.3,0.6,336,0.55,0.24,0.08,1,20.19,0.336,107.89,0.336,4.869,14.491,0.0006,0.0015,0.0328,4.39,65,27.8,7.2,0.270070255,0.014744174,0.41327357,0.04612271
HARV,TOP,1.363,141,55,1.25,6.6,3.5,1.1,,0.62,0.35,0.09,1.42,33.39,0.582,206.82,0.582,14.593,25.074,0.0009,0.0029,0.0264,3.77,63,27.9,9.2,0.654863068,0.037793333,0.892723252,0.136832696
ISCC,BTM,1.178,175,9,0.62,1.7,11.6,2.4,98,20.72,6.58,0.06,27.81,35.18,0.308,115.14,0.308,3.5,11.364,0.002,0.0025,0.006,6.44,17,43.9,39.2,0.066930013,0.007852356,0.005037531,0.001218072
ISCC,TOP,1.14,237,10,0.68,2.1,9.4,1.9,55,20.89,6.57,0.06,28.13,35.19,0.378,117.85,0.378,4.392,11.619,0.0059,0.003,0.025,6.84,17.1,43.8,39.2,0.077751702,0.012247982,0.039614512,0.007246698
ISNC,BTM,1.155,152,6,0.4,1.4,10.7,1,23,18.95,6.03,0.06,25.43,27.45,0.257,60.28,0.257,2.786,10.84,0.0014,0.0025,0.001,7.04,15,46,39,0.070340614,0.006269902,0.037964155,0.005239988
ISNC,TOP,1.131,228,5,0.36,2.4,11.4,1,25,20.09,5.91,0.06,26.64,30.64,0.265,118.32,0.265,3.38,12.755,0.0024,0.0024,0.0156,6.95,14.9,50,35.2,0.071283412,0.007135139,0.038813333,0.005020359
JERC,BTM,1.028,48,7,0.13,0.1,13.4,0.1,12,0.47,0.15,0.07,0.81,3.18,0.053,51.19,0.053,0.444,8.377,0.0008,0.0014,0.0007,5.97,77,12,11.1,0.038355364,0.003253761,0.03278527,0.006060255
JERC,TOP,1.031,66,4,0.15,0.2,25.7,0.1,14,1.93,0.55,0.08,2.73,5.49,0.104,72.87,0.104,1.8,17.308,0.0006,0.0019,0.0029,6.29,75,14.1,11,0.060156133,0.005467273,0.081142209,0.015329274
JORN,BTM,1.051,224,2,0.34,0.1,1.7,0.4,19,7.07,0.91,0.04,8.59,7.47,0.073,13.3,0.073,0.236,3.233,0.0013,0.0015,0.0007,7.8,78.9,6.1,15.1,0.019956796,0.002449919,0.062386916,0.003192499
JORN,TOP,1.034,217,2,0.11,0.2,2.2,0.8,9,4.68,0.97,0.04,6.25,5.37,0.067,13.48,0.067,0.3,4.478,0.0018,0.0018,0.0014,8.52,79,7.9,13.1,0.014958388,0.002542277,0.041513855,0.005503006
KONA,BTM,1.234,294,10,0.37,0.9,17.6,2.6,65,15.03,3.2,0.2,19.18,53.39,0.148,159.07,0.148,1.683,11.372,0.0137,0.0015,0.0046,5.43,16.9,40,43.1,0.032532971,0.02104954,0.034244008,0.005859966
KONA,TOP,1.248,409,12,0.32,1.4,52.4,3.3,82,11.64,2.32,0.17,15.18,19.36,0.188,197.28,0.188,2.061,10.963,0.02,0.0031,0.0166,5.04,21,42,37.1,0.050158465,0.02514645,0.065743274,0.016972557
KONZ,BTM,1.312,500,12,0.29,0.4,9.5,1.2,37,14.79,4.1,0.14,20.31,34.76,0.184,202.66,0.184,2.053,11.158,0.0012,0.0022,0.0009,6.08,18.8,36.1,45.1,,0.008686811,0.091530872,0.009387355
KONZ,TOP,1.409,592,11,0.46,4.5,24.5,0.9,55,15.73,3.42,0.09,20.76,26,0.396,280.41,0.396,4.774,12.056,0.001,0.0033,0.0056,6.41,18.9,48,33.1,0.248625588,0.022739676,0.078572223,0.018318913
LENO,BTM,1.249,104,10,0.29,1.3,28.8,1.2,82,8.55,0.76,0.11,9.69,16.15,0.121,86.41,0.121,0.689,5.694,0.0009,0.0019,0.0055,5.22,30.9,34.1,35.1,0.028924615,0.001982609,0.127299263,0.007305588
LENO,TOP,1.341,169,7,0.38,4.2,35.4,0.8,105,9.91,1.86,0.1,12.3,16.01,0.227,157.1,0.227,2.089,9.203,0.0009,0.0062,0.0066,5.91,44.8,28.1,27.1,0.137117976,0.021018023,0.142029457,0.032624908
MLBS,BTM,1.309,43,5,0.55,1.2,0.5,0.8,153,0.44,0.16,0.09,0.8,25.08,0.101,55.74,0.101,1.358,13.446,0.0011,0.0016,0.0037,4.41,76.8,2.1,21.1,0.043351668,0.003001678,0.09573779,0.010949384
MLBS,TOP,1.548,76,18,0.66,2.8,2.2,0.4,299,0.69,0.37,0.09,1.34,8.55,0.413,243.13,0.413,7.272,17.608,0.0011,0.0057,0.0076,3.89,66.8,18.2,15.1,0.097663366,0.006399516,0.328958386,0.08456184
MOAB,BTM,1.008,216,2,0.42,0.3,3.2,0.4,7,7.54,1.21,0.05,9.35,7.99,0.082,24.2,0.082,0.377,4.598,0.001,0.0022,0.0022,8.54,70.8,14.1,15.2,0.02750547,0.003167432,0.075551083,0.010300637
MOAB,TOP,1.007,212,2,0.37,0.4,4.3,0.3,5,9.12,1.14,0.05,10.85,9.54,0.079,54.12,0.079,0.47,5.949,0.0014,0.0023,0.0032,8.57,68.7,16.2,15.2,0.037329554,0.004597641,0.087673256,0.011461705
NIWO,BTM,1.161,,,,,,,,,,,,,,,,,,0.0008,0.0049,0.0024,5.64,62.9,28.1,9.1,0.190145767,0.017754995,0.303168638,0.049865459
NIWO,TOP,1.188,224,20,0.62,16.5,29.3,2.6,232,9.39,1.15,0.05,11.16,41.51,0.691,173.19,0.691,9.198,13.311,0.0013,0.0065,0.0039,5.7,54.8,34.1,11.2,0.209397035,0.029663107,0.607155811,0.102501407
NOGP,BTM,1.202,411,6,0.5,0.4,9.6,0.9,31,14.88,5.16,0.06,21.15,33.7,0.287,102.04,0.287,2.615,9.111,0.0008,0.0016,0.0011,6.88,28.8,40.1,31.2,0.101003117,0.010202917,0.105838143,0.00910894
NOGP,TOP,1.18,824,15,0.52,4.5,98.5,3.7,62,14.06,4.25,0.05,20.47,31.31,0.448,135.24,0.448,4.485,10.011,0.0024,0.0034,0.0027,6.37,26.8,46.1,27.1,0.194947127,0.027589433,0.205392567,0.029195865
