Samples,Assignments,Mean_Error_PPM,StDev_Error_PPM,CHON_ct,CHO_ct,DBE_Mean,AI_Mean,AImod_Mean,NOSC_Mean,NOSC_StDev,NOSC_median,OC_Mean,OC_StDev,OC_median,HC_Mean,HC_StDev,HC_median,C_mean,GFE_Mean,Lignin_ct,ConHC_ct,Lipid_ct,UnsatHC_ct,Protein_ct,AminoSugar_ct,Carb_ct,Tannin_ct,Other_ct,Lignin,ConHC,Lipid,UnsatHC,Protein,AminoSugar,Carb,Tannin,Other,CHO,CHON,Site,Depth,Sample_ID,biome_name,latitude,longitude,mean_GWC,K_mg_per_kg,SO4.S_mg_per_kg,B_mg_per_kg,Zn_mg_per_kg,Mn_mg_per_kg,Cu_mg_per_kg,Fe_mg_per_kg,Ca_Meq_per_100_g,Mg_Meq_per_100_g,Na_Meq_per_100_g,Total_Bases_Meq_per_100_g,CEC_Meq_per_100_g,TKN_pct,Total_Sulfur_pct,Total_Nitrogen_pct,Total_Carbon_pct,C_to_N_ratio,NO3.N_mg_per_g_of_soil_mean,NH4.N_mg_per_g_of_soil_mean,NO3.N_mg_per_g_of_soil_median,NH4.N_mg_per_g_of_soil_median,NO3.N_mg_per_g_of_soil_standard_deviation,NH4.N_mg_per_g_of_soil_standard_deviation,NO3.N_mg_per_g_of_soil_standard_error,NH4.N_mg_per_g_of_soil_standard_error,P_Bicarb_mg_per_g_of_soil_mean,P_Bicarb_mg_per_g_of_soil_median,P_Bicarb_mg_per_g_of_soil_standard_deviation,P_Bicarb_mg_per_g_of_soil_standard_error,pH,P_Extract,B.glucosidase_ug_pNP_per_g_per_hour,B.glucosidase_activity_nmol_B.gluc_per_g_soil_per_hour,Respiration_96_h_ug_CO2.C_per_g_soil_per_day,Respiration_24_h_ug_CO2.C_per_g_soil_per_day,Sand_pct,Silt_pct,Clay_pct,WEOC_mean,WETN_mean,WEOC_sd,WETN_sd,WEOC_se,WETN_se,salt_C_mean,salt_N_mean,MBC_mean,MBN_mean,salt_C_sd,salt_N_sd,MBC_sd,MBN_sd,salt_C_se,salt_N_se,MBC_se,MBN_se,ROI.volume.xyz,Voxel.size,connected.pores,pore.size.distribution_0.0.1mm,pore.size.distribution_0.1.0.2mm,pore.size.distribution_0.2.0.3mm,pore.size.distribution_0.3.0.4mm,pore.size.distribution_0.4.0.5mm,pore.size.distribution_0.5.0.75mm,pore.size.distribution_0.75.1mm,pore.size.distribution_1.0.5.0mm,pore.size.distribution_5.0.10.0mm,pore.size.distribution_10.0.25.0mm,pore.size.distribution_25.0.50.0mm,pore.size.distribution_.50.0mm,pore.size.min,pore.size.max,pore.size.mean,pore.size.median,pore.size.variance,pore.volume.mean,pore.volume.fraction,wet.bulk.density,pnm.abs.permeability_x,pnm.total.flow.rate_x,pnm.tortuosity_x,pnm.abs.permeability_y,pnm.total.flow.rate_y,pnm.tortuosity_y,pnm.abs.permeability_z,pnm.total.flow.rate_z,pnm.tortuosity_z,BiomeType
ANZA_BTM,3622,0.038921718,0.03317614,1505,2117,8.035339591,0.115708321,0.259335389,-0.125443248,0.58587787,-0.117647059,0.517334466,0.154610438,0.5,1.254475894,0.399608603,1.25,18.30342352,63.87513257,1546,520,150,0,665,219,120,392,10,0.426836002,0.14356709,0.041413584,0,0.183600221,0.060463832,0.033130867,0.108227499,0.002760906,0.584483711,0.415516289,ANZA,BTM,1000S_ANZA,Deserts & Xeric Shrublands,33.305325,-116.254011,1,82,4,0.2,0.3,1.1,0.1,14,3.05,0.42,0.08,3.76,9.38,0.047,94.5,0.047,0.151,3.213,0.0009,0.0006,0.0009,0.0006,0,0,0,0,0.0009,0.0007,0.06,0.03,9.2,,4.5,,,3.7,87,5.9,7.1,0.03149309,0.005812294,0.012949077,0.003080849,23.73902744,30.60287528,0.020707635,0.001909962,0.013688861,0.001384506,0.003847627,0.000171707,0.002309898,0.00057899,0.002221429,9.91E-05,0.00133362,0.00033428,,0.381,28.19,907936,125131,11846,2488,710,393,51,18,0,1,0,0,0.047327,15.5916,0.076045,0.059589,0.001731,0.000788,5.07,2.07,6.61964,93.40387,1.84,9.48881,146.163,1.77,6.10609,33.65278,1.95,Desert_Shrubland
ANZA_TOP,7211,0.051663364,0.04526039,3323,3888,10.21078907,0.134320003,0.296498819,-0.039973765,0.572961313,0,0.514428231,0.161150605,0.5,1.169177022,0.381881556,1.148148148,21.25960338,61.43925231,3435,1295,234,1,902,286,190,855,13,0.476355568,0.179586742,0.032450423,0.000138677,0.125086673,0.039661628,0.026348634,0.118568853,0.001802801,0.539176258,0.460823742,ANZA,TOP,1000S_ANZA,Deserts & Xeric Shrublands,33.305325,-116.254011,1.002,107,4,0.25,0.2,1.9,0.1,13,3.27,0.26,0.1,3.9,5.62,0.059,101.84,0.059,0.209,3.542,0.0039,0.0012,0.0039,0.0012,0,0,0,0,0.002,0.002,0,0,8.75,,30,,,11.4,83.1,9.9,7.1,0.029364385,0.005239364,0.014483939,0.003506724,28.47771563,38.64225207,0.126612211,0.009253243,0.081016352,0.007267017,0.013459447,0.000170766,0.03752328,0.001342125,0.007770816,9.86E-05,0.021664076,0.000774876,,0.381,40.4,875026,152973,16258,3044,842,378,31,21,0,1,0,0,0.047327,17.80653,0.076939,0.059601,0.001752,0.001032,5.27,2.12,21.10196,388.9573,1.81,12.26998,165.2507,1.69,0.12125,0.88,2.24,Desert_Shrubland
BLAN_BTM,812,0.033910941,0.031230932,176,636,5.395320197,0.07150242,0.177218881,-0.499891713,0.490749557,-0.458041958,0.452599776,0.149875562,0.444444444,1.458540911,0.341107689,1.473684211,15.72044335,74.54691381,366,16,85,0,218,67,31,27,2,0.450738916,0.019704433,0.104679803,0,0.268472906,0.082512315,0.03817734,0.033251232,0.002463054,0.783251232,0.216748768,BLAN,BTM,1000S_BLAN,Temperate Broadleaf & Mixed Forests,39.05941,-78.07207,1.166,,,,,,,,,,,,,,,,,,0.0003,0.001,0.0003,0.001,0,0,0,0,0.0011,0.0008,0.06,0.03,5.92,,6.6,,,8.3,25,37.8,37.3,0.020155341,0.001040124,5.33E-06,0.000179879,0.015273522,9.984678131,0.045688572,0.003791609,0.033344869,0.006350579,0.000672936,0.00015801,0.014748248,0.002015739,0.00038852,9.12E-05,0.008514905,0.001163787,,0.0381,87.15,964639,64877,12016,4086,1541,1125,208,81,0,0,1,0,0.047327,28.0241,0.064884,0.052709,0.0022,0.004855,9.53,2.49,23.5293,339.6117,1.87,33.8594,592.151,1.83,57.413,581.376,1.7,Temp_Forests
BLAN_TOP,8284,0.05440447,0.046881714,4043,4241,10.80721873,0.142744052,0.3082396,0.014033296,0.59515747,0,0.525040661,0.169760646,0.516129032,1.143829518,0.390209659,1.117647059,21.80299372,59.90005107,3630,1742,220,56,1021,292,223,1080,20,0.438194109,0.210284887,0.026557219,0.006760019,0.123249638,0.035248672,0.026919363,0.130371801,0.002414293,0.511950748,0.488049252,BLAN,TOP,1000S_BLAN,Temperate Broadleaf & Mixed Forests,39.05941,-78.07207,1.157,,,,,,,,,,,,,,,,,,0.001,0.0022,0.0007,0.0028,0.1,0.38,0.1,0.22,0.0024,0.0024,0,0,6.5,,49.4,,,52.4,25,45.8,29.3,0.127422793,0.013628846,0.009284848,0.001004901,4.206947083,4.256997566,0.054045868,0.009779259,0.071523404,0.021471012,5.04E-05,0.000234359,0.046060917,0.011521249,2.91E-05,0.000135307,0.026593283,0.006651796,,0.381,92.51,920508,96777,20172,6567,2464,1691,298,96,0,0,1,0,0.047327,29.50552,0.070405,0.047327,0.006364,0.013019,10.48,2.34,838.5139,12085.59,1.49,342.4917,5981.537,1.66,343.6399,3478.101,1.84,Temp_Forests
CFS1_BTM,3878,0.049213869,0.043303044,1478,2400,10.72795255,0.074952347,0.29866215,0.003414416,0.495505523,0,0.531300449,0.136382474,0.526315789,1.136910878,0.306482747,1.111111111,21.57813306,60.20268916,2306,487,71,2,302,106,41,562,1,0.594636411,0.125580196,0.018308406,0.00051573,0.077875193,0.027333677,0.01057246,0.144920062,0.000257865,0.618875709,0.381124291,CFS1,BTM,1000S_CFS1,Temperate Conifer Forests,35.3828,-78.03818,1.134,107,6,0.26,0.3,0.7,0.5,18,2.93,1.14,0.06,4.4,5.49,0.072,18.6,0.072,0.433,6.014,0.0001,0.0003,0,0.0003,0.03,0,0.03,0,0.0238,0.0238,1,0.58,6.98,,,4.1,6.85,9.33,48.03,23.99,27.98,0.04686615,0.004221127,0.00044068,0.000163937,0.542878905,2.242269708,0.073837597,0.008011782,0.033047466,0.006295954,0.001540362,0.000277821,0.015220954,0.004824541,0.000889329,0.0001604,0.008787822,0.00278545,,0.0381,88.96,470233,111270,24469,7480,2852,2042,410,189,0,0,1,0,0.04732,27.6381,0.08791,0.06023,0.00662,0.020005,9.18,2.45,1912.92,27617.81,1.53,1874.209,33279.5,1.54,13.839,134.55,1.66,Temp_Conif_Forests
CFS1_TOP,3548,0.035863396,0.028885766,1605,1943,8.752818489,0.101623487,0.302567009,-0.052239724,0.585426081,0,0.504315544,0.152721694,0.5,1.176743342,0.364448745,1.157894737,18.20913191,61.78883213,1729,596,143,0,499,129,61,389,2,0.487316798,0.167981962,0.040304397,0,0.140642616,0.036358512,0.017192785,0.109639233,0.000563698,0.547632469,0.452367531,CFS1,TOP,1000S_CFS1,Temperate Conifer Forests,35.3828,-78.03818,1.112,231,,,,,,,2.41,0.68,0.08,3.76,5.55,0.14,92.27,0.14,1.212,8.657,0.0083,0.0214,0.0083,0.021,0.06,0.26,0.06,0.15,0.1453,0.1479,0.58,0.33,6.66,,,124.07,35.97,81.07,68.1,19.94,11.96,0.061875839,0.029890194,0.001072561,0.000814762,1.000783402,1.573770609,0.056995153,0.048361672,0.082763987,0.034699372,0.004846695,0.001847258,0.005327414,0.003321494,0.002798241,0.001066515,0.003075784,0.001917665,,0.0381,89.41,820998,182189,32628,8332,2573,1471,266,116,0,0,1,0,0.047327,28.70086,0.08245,0.059628,0.00405,0.01141,11.96,2.19,1329.629,19078.75,1.623,356.617,6222.742,1.65,0.5396,4.56,2.003,Temp_Conif_Forests
CFS2_BTM,2620,0.043736849,0.036774459,974,1646,10.91793893,0.070075659,0.337202815,0.193585044,0.535383335,0.3,0.584695533,0.126944262,0.583333333,1.054789823,0.332146557,1,20.11908397,54.78282625,1106,631,26,0,255,84,15,503,0,0.422137405,0.240839695,0.009923664,0,0.097328244,0.032061069,0.005725191,0.191984733,0,0.628244275,0.371755725,CFS2,BTM,1000S_CFS2,Temperate Broadleaf & Mixed Forests,35.38329,-81.434174,1.088,66,2,0.06,0.3,2,0.3,17,1.13,0.32,0.04,1.66,2.3,0.041,0,0.041,0.223,5.439,0.0002,0.0001,0,0,0.06,0.05,0.06,0.03,0.0508,0.0533,1.53,0.88,6.78,,,,4.86,6.43,68.06,21.96,9.98,0.032712057,0.002968866,0.000712103,0.000109111,1.256823867,2.121853411,0.022902073,0.00332576,0.032374642,0.003541057,0.000820388,0.000394984,0.025463305,0.000291695,0.000473651,0.000228044,0.014701246,0.00016841,,0.0381,77.43,868557,141807,26755,7293,2418,1448,209,86,0,0,1,0,0.04732,27.085,0.07499,0.05962,0.00282,0.003696,9.79,2.53,25.561,370.663,1.74,28.208,489.232,1.75,54.612,548.196,1.71,Temp_Forests
CFS2_TOP,1400,0.029882794,0.022677264,390,1010,9.208571429,0.102815699,0.361684698,0.127949271,0.555570475,0.25,0.557767371,0.13053082,0.5625,1.058474613,0.342141833,1,16.85785714,56.65344578,630,352,16,0,154,34,6,207,1,0.45,0.251428571,0.011428571,0,0.11,0.024285714,0.004285714,0.147857143,0.000714286,0.721428571,0.278571429,CFS2,TOP,1000S_CFS2,Temperate Broadleaf & Mixed Forests,35.38329,-81.434174,1.106,134,4,0.11,3.6,5.1,2.2,48,1.76,0.5,0.05,2.65,4.06,0.114,37.81,0.114,1.019,8.939,0.0036,0.0008,0.0036,0.0007,0.03,0.06,0.03,0.03,0.1497,0.1471,0.58,0.33,6.66,,,72.6,14.34,24.84,84.01,6,10,0.029040876,0.008671978,0.005379468,0.001958755,10.69470987,13.040715,0.02592964,0.010321326,0.074099336,0.017683773,0.000424318,0.000788479,0.030922608,0.001589045,0.00024498,0.000455229,0.017853176,0.000917435,,0.0381,86.26,846625,163580,27587,6903,2286,1298,218,75,0,0,1,0,0.04727,29.6701,0.0795,0.05955,0.00335,0.007276,11.58,2.23,73.0551,1031.543,1.72,92.4777,1654.125,1.73,79.681,793.396,1.73,Temp_Forests
CLBJ_BTM,5919,0.051439518,0.04549026,2460,3459,10.30765332,0.125450344,0.296984351,-0.00073277,0.557026792,0,0.533813929,0.158739985,0.526315789,1.156667483,0.376521583,1.125,20.9501605,60.32088395,2779,1060,167,2,661,231,139,870,10,0.469504984,0.179084305,0.028214225,0.000337895,0.111674269,0.039026863,0.023483697,0.146984288,0.001689475,0.584389255,0.415610745,CLBJ,BTM,1000S_CLBJ,"Temperate Grasslands, Savannas & Shrublands",33.401641,-97.570431,1.218,144,5,0.18,0.4,9.6,0.2,21,1.42,1.08,0.1,2.97,2.74,0.064,22.6,0.064,0.205,3.203,0.0005,0.0018,0.0004,0.0018,0.03,0.1,0.03,0.06,0.0009,0.0009,0,0,4.94,,2.7,,,7.1,53,33.9,13.2,0.033126757,0.002171711,0.003810237,0.00122269,6.640678887,32.50526266,0.091127586,0.003288654,0.061627788,0.003752454,0.032222662,6.83E-05,0.021166768,0.000684506,0.018603763,3.94E-05,0.012220639,0.0003952,,0.0381,5.08,977360,81881,10588,4344,2058,1697,445,199,2,0,0,0,0.047327,9.723973,0.072092,0.047327,0.002576,0.001038,6.83,2.35,30.72064,374.8233,1.09,0.011144,0.19368,1.47,0.030694,0.28327,1.53,Temp_Grasslands
CLBJ_TOP,9437,0.058490686,0.051262144,4766,4671,11.67849952,0.18563419,0.362534615,0.082700066,0.597475557,0.125,0.515899102,0.174257384,0.5,1.064437687,0.401251229,1.032258065,21.67362509,57.94304812,3946,2714,222,41,911,264,197,1111,31,0.418141358,0.287591396,0.023524425,0.004344601,0.096534916,0.027974992,0.020875278,0.117728092,0.003284942,0.494966621,0.505033379,CLBJ,TOP,1000S_CLBJ,"Temperate Grasslands, Savannas & Shrublands",33.401641,-97.570431,1.278,156,6,0.4,1.6,5.9,0.2,12,9.02,1.04,0.07,10.53,2.04,0.172,198.71,0.172,1.549,9.006,0.0008,0.0042,0.0008,0.0042,0,0.1,0,0.06,0.0034,0.0034,0,0,7.28,,12.6,,,24.6,49,37.9,13.2,0.097551418,0.021397885,0.000821336,0.00101787,0.486101032,2.746380232,0.088242657,0.014326823,0.201579625,0.028512493,0.012484813,0.001277154,0.024687288,0.003455511,0.00720811,0.000737365,0.014253212,0.00199504,,0.0381,47.72,967106,61986,11847,4076,1777,1318,293,170,0,1,0,0,0.047327,21.60866,0.070192,0.047327,0.002185,0.001556,8.04,2.29,21.86411,314.5299,1.78,49.5169,862.061,1.61,0,0,1.57,Temp_Grasslands
